produto;descrição;qut;precro_bruto;prateleira
312704;FILTRO COMBUSTIVEL MAIOR VW GM FORD FIAT;0,;10,77;
312703;FILTRO COMBUSTIVEL MENOR VW GM FORD FIAT;0,;12,80;
3608;FILTRO COMBUSTIVEL REF EL-62774, DIESEL;1,;107,00;
206515;FILTRO DE COMB. BEETLE 2.0 98/BORA 1.6/1.8/2.0-99/;12,;22,70;
206506;FILTRO DE COMB. CORSA 1.0 1.4 1.6 1.8 TODOS 2003 B;8,;12,85;FOR-3_E
206502;FILTRO DE COMB. COURIER 1.3 1.6 1.4 MOTOR ZETEC-97;30,;17,42;FOR-3_E
206504;FILTRO DE COMB. GOL/PARATI/SAVEIRO 1.6 1.8 96 BG;24,;17,42;FOR-3_E
206508;FILTRO DE COMB. PALIO/WEEKEND/SIENA BG;30,;18,43;FOR-3_E
206516;FILTRO DE COMBUSTIVEL C3 1.4/1.6 XSARA PICASSO 1.6;30,;11,40;
206517;FILTRO DE COMBUSTIVEL COROLLA/FIELDER 1.8 16V 2006;0,;12,38;
206510;FILTRO DE COMBUSTIVEL PALIO FIRE 1.0/1.3/1.6/1.8 8;94,;11,40;FOR-3_F
3607;FILTRO DE OLEO LUBRIFICANTE, P/ PICK UP RANGER;1,;93,92;
FTM4;FILTRO DE OLEO MULTI FIAT PALIO TODOS ATE 2000, MA;0,;17,45;
FTM1;FILTRO DE OLEO MULTI FORD FIESTA (TDS) END ZET;6,;17,45;
FTM3;FILTRO DE OLEO MULTI GM ASTRA, CORSA, CELTA, MONZA;0,;15,33;
FTM2;FILTRO DE OLEO MULTI VW GOL, SAVEIRO, PARATI COM M;0,;18,35;
100055;FILTRO DE OLEO PALIO 1.0 8V FIRE E 1.0 16V FIRE/UN;78,;16,74;
194210084;FILTRO OLEO CUMMINS 6B;0,;61,33;
FTM5;FILTRO OLEO MULTI FIAT PALIO 1.0 1.3 8V 16V FIRE;46,;18,93;
904407;FLANDRE 1.0X1.0 METRO;0,;121,04;
904523;FLANDRE APROX 1.000MMX1.000MMX0,23MM ESPESSURA EXA;0,;210,17;
7008VP;FLANGE BBA COMB 10 FUROS ENGATE DE MANGUEIRO FIAT;12,;11,79;
7015VP;FLANGE BBA COMB 12 FUROS ENGATE MANGUEIRA FIAT UNO;0,;23,36;
7021VP;FLANGE BBA COMB C ENGATE RAPIDO C ENCAIXE P REGULA;0,;24,83;
7020VP;FLANGE BBA COMB C ENGATE RAPIDO GM CORSA 02/03 GAS;1,;36,51;
7024VP;FLANGE BBA COMB C ENGATE RAPIDO VW GOL CL 95/96 KO;8,;20,15;
7023VP;FLANGE BBA COMB C ENGATE RAPIDO VW GOL GII SPECIAL;1,;21,88;
7022VP;FLANGE BBA COMB C ENGATE RAPIDO VW GOL PARATI COLI;11,;26,13;
7027VP;FLANGE BBA COMB C ENGATE RAPIDO VW KOMBI I.E TDS 9;1,;22,79;
7049VP;FLANGE BBA COMB C ENGATE RAPIDO VW SANTANA 94/...;9,;23,16;
7078VP;FLANGE BBA COMB C RETORNO DIRETO A TANQUE BOMBA VD;7,;43,31;
7088VP;FLANGE BBA COMB C SUPORTE P REG PRESSAO VW GOL 1.0;0,;41,97;
7016VP;FLANGE BBA COMB C TANQUE PLASTICO ENGATE RAPIDO E;0,;37,98;
7017VP;FLANGE BBA COMB C TANQUE PLASTICO ENGATE RAPIDO E;3,;35,06;
7009VP;FLANGE BBA COMB ENGATE MANGUEIRA FIAT UNO MILLE 00;1,;22,79;
7010VP;FLANGE BBA COMB ENGATE RAPIDO C ENCAIXE P REGULADO;0,;26,28;
7005VP;FLANGE BBA COMB ENGATE RAPIDO FIAT PALIO SIENA WEE;0,;26,28;
311710;FLANGE BBA COMB FIAT 147 1050 1300;2,;16,68;SEL-2_B.1
341710;FLANGE BBA COMB FIAT 147 1050 1300;9,;30,37;SEL-1_C.6
7092VP;FLANGE BBA COMB FIAT DOBLO 1.4 1.8 MPI 8V ADVENTUR;5,;40,95;
7079VP;FLANGE BBA COMB FIAT PALIO 00/...  ALC;10,;27,75;
7045VP;FLANGE BBA COMB FIAT PALIO/WEEKEND FIRE TDS 00/03;0,;64,00;
7094VP;FLANGE BBA COMB FIAT PUNTO 1.4 1.8 FLEX;10,;39,85;
3417131;FLANGE BBA COMB FIAT TIPO 1 600 ARGENTINO ALC GAS;0,;96,21;
7046VP;FLANGE BBA COMB FIAT UNO FIRE 03/... FLEX;0,;36,51;
341713;FLANGE BBA COMB FIAT UNO PREMIO ELBA 1600 ARGENTIN;0,;58,77;
7063VP;FLANGE BBA COMB GM CELTA MERIVA PRISMA FLEX;0,;43,83;
7068VP;FLANGE BBA COMB GM CORSA 1.0 VHC 02 08/05 1.8 MPFI;4,;33,35;
7062VP;FLANGE BBA COMB GM CORSA 1.0 VHC 09/05 1.4 ECONOFL;0,;43,83;
7060VP;FLANGE BBA COMB GM MERIVA GAS 09 02/04 GAS;9,;29,03;
7073VP;FLANGE BBA COMB VW FOX 1.0 1.6 02/05...  FLEX;2,;42,08;
7072VP;FLANGE BBA COMB VW GOL GII PARATI 1.6 1.8 2.0 10 9;1,;42,08;
7075VP;FLANGE BBA COMB VW KOMBI TDS FLEX;0,;41,51;
311717;FLANGE BBA COMB VW PASSAT GOL VOYAGE 1.5 1.6;0,;34,34;
311716;FLANGE BBA COMB VW SANTANA GOL VOYAGE PARATI 1.8;0,;19,39;
123201;FLANGE BBA COMBTC GM CHEVETTE KADETT MONZA;20,;10,83;
7103VP;FLANGE BOMBA COMBUSTÍVEL  RENAULT KANGOO FLEX 05/.;2,;46,19;
7090VP;FLANGE DA BOMBA DE COMBUSTÍVEL RENAULT CLIO 1.0/1.;0,;35,92;
7146VP;FLANGE DA BOMBA DE COMBUSTÍVEL RENAULT DUSTER 2012;0,;49,74;
7116VP;FLANGE DA BOMBA DE COMBUSTÍVEL RENAULT MEGANE 1.6;2,;38,50;
7063WS;FLANGE RENAULT CLIO LOGAN SANDERO MEGANE SCENIC S;1,;57,73;
20292;FLANGE VALV TERM KOMBI T2 06/... 1.4 TOTAL FLEX;0,;18,20;
5027EM;FLEXIVEL DE EMBREAGEM KOMBI T2 - 09/96... - (CURT;0,;17,53;
5029EM;FLEXIVEL DE EMBREAGEM KOMBI T2 - 97... - (LONGO);0,;18,03;
DOT3-118;FLUIDO FREIO DOT-3;7,;23,16;
DOT4-119;FLUIDO FREIO DOT-4;-8,;30,18;
401207080;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207085;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207090;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207095;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;4,79;
401207097;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207100;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207102;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207105;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207107;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207110;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;4,79;
401207112;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207115;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;4,79;
401207117;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;5,;5,32;
401207120;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;5,;5,32;
401207122;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207125;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,96;
401207127;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207130;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207132;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207135;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207137;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207140;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;4,79;
401207142;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207145;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207147;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207150;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207152;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207155;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207157;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207160;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207162;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207165;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207167;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207172;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;6,67;
401207175;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207177;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207180;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207182;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207185;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207187;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207190;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207195;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207200;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207205;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207210;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207215;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
401207220;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;4,79;
401207225;GAPR SLX 30 31 PIC 32 34 PDSI 34 SEIE 40 EIS 40 DE;0,;5,32;
175322;GAX MANCAL FORD CARGO 4 6 CIL;0,;64,08;
135319;GAX MANCAL FORD MAVERICK JEEP WILLYS 58 A 75 6 CIL;0,;77,41;
125361;GAX MANCAL GM CHEVROLET BRASIL 261;0,;115,38;
125301;GAX MANCAL GM OPALA 90 CARAVAN 153 151 169 230 250;4,;103,77;SEL-2_F.8
15423515;GAX MANCAL M BENS 120D 130D 140D 150D 170D 180D MO;0,;114,51;
165304;GAX MANCAL M BENS 180 OM314 L608D OM352A OM366;0,;99,05;
175301;GAX MANCAL PERKINS TRATOR 8BR 4203 4236 4248 6340;0,;78,02;
85114001;GAX SAIDA ESCAP 52 FIAT DUCATO CITROEN JUMTER RENA;0,;18,95;
851140011;GAX SAIDA ESCAP 59 FIAT DUCATO CITROEN JUMTER RENA;0,;21,70;
1522071;GAX SAIDA ESCAP ASIA TOPIC 2.7 MAZDA 3.0 KIA BONGO;0,;12,93;
8111116;GAX SAIDA ESCAP AUDI A1 A3 Q3 SKODA OCTAVIA SEAT L;0,;17,09;
85113313;GAX SAIDA ESCAP BMW 135I 335I 640I 740I X3 35I X5;0,;145,49;
85113312;GAX SAIDA ESCAP BMW 630I CABRIO ENGINE 41X52X7;0,;31,48;
15203311;GAX SAIDA ESCAP BMW 630I CABRIO ENGINE 41X52X7;0,;49,27;
8211173;GAX SAIDA ESCAP CAT Ø 82.00MM GM ONIX 2G 20/... TR;1,;27,93;SAI_C.7
8511165;GAX SAIDA ESCAP CATALISADOR PEUGEOT 4 CIL ANT A 20;0,;17,83;
85115401;GAX SAIDA ESCAP CHRYSLER NEON STRATUS 2.5L 64X86X1;0,;236,03;
8511146;GAX SAIDA ESCAP COROLLA ATÉ 2002 44X57X6;0,;118,54;
8211136;GAX SAIDA ESCAP CORSA 8V CELTA UP ARGO 45X59X13;5,;18,37;TV-11_E.2.B
871118;GAX SAIDA ESCAP D-20 MAXION SILVERADO 64X78X13;0,;20,39;
85111101;GAX SAIDA ESCAP DAIHATSU CUORE 12V EF-EL EF GL  40;0,;163,50;
85111102;GAX SAIDA ESCAP DAIHATSU MIRA 12V EF-EL EF GL  44X;0,;204,06;
85111061;GAX SAIDA ESCAP DIANT TOYOTA COROLLA IMPORTADO NAC;2,;55,14;TV-11_B.5
85115408;GAX SAIDA ESCAP ECLIPSE 2.4L 06 A 12 GALANT 2.4L 0;0,;166,23;
8311122;GAX SAIDA ESCAP F.1000 3.6 4.9 GAS ALCOOL;0,;30,32;
831173;GAX SAIDA ESCAP FOCUS FLEX 1.6 1.8 2.0 45X60X18;0,;78,80;
831103;GAX SAIDA ESCAP FORD ESCORT CHT XR3 ATE 86 VERONA;0,;23,74;
831149;GAX SAIDA ESCAP FORD ESCORT ZETEC 1.8 MONDEO ZETEC;15,;72,34;TV-11_A.6
182207;GAX SAIDA ESCAP FORD F1000 2000 4000 GRANDE;0,;18,60;
182209;GAX SAIDA ESCAP FORD F4000 7000 75 A 80 PEQUENA;0,;19,29;
831133;GAX SAIDA ESCAP FORD FIESTA COURIER 1.0 1.3 ENDURA;0,;22,24;
831145;GAX SAIDA ESCAP FORD KA FIESTA COURIE FOCOS ECOESP;2,;77,71;TV-11_C.2
8511191;GAX SAIDA ESCAP FORD MAX FALCON F100 FAIRLANE 69 1;0,;33,99;
831104;GAX SAIDA ESCAP FORD RANGER EXPLORER 6 CIL IMPORT;6,;35,24;TV-11_A.4
8111103;GAX SAIDA ESCAP FOX POLO 50X64X11;0,;122,51;
851133051;GAX SAIDA ESCAP GANDE BMW 116I 118I 120I 316I 318I;0,;69,12;
821187;GAX SAIDA ESCAP GM ASTRA VECTRA 2.0 2.2 50.2X66.2X;8,;32,14;TV-11_C.3
8211105;GAX SAIDA ESCAP GM BLAZER S10 4.3 VORTEC V6 41.8 X;0,;116,79;
122202;GAX SAIDA ESCAP GM CHEVETTE MARAJO CHEVY DODGE 180;14,;10,61;TV-11_D.5
1222123;GAX SAIDA ESCAP GM CORSA CELTA VHC 1.0 8V .../06;0,;27,34;
821106;GAX SAIDA ESCAP GM MONZA CELTA FIAT FIASA MPI;15,;18,14;TV-11_B.4
122203;GAX SAIDA ESCAP GM OPALA 90 CARAVAN 153 151 4CIL A;10,;11,63;TV-11_D.4
122204;GAX SAIDA ESCAP GM OPALA C10 230 250 261 6CIL;5,;18,23;TV-11_D.3
8511111;GAX SAIDA ESCAP GRANDE MITSUBISHI L 200 TRAS 67X80;0,;40,59;
8511163;GAX SAIDA ESCAP GRANDE SUZUKI VITARA 2.0 16V 01 A;0,;166,23;
851160051;GAX SAIDA ESCAP GRANDE TRAZ NISSAN LIVINA TIIDA VE;0,;104,47;
8511171;GAX SAIDA ESCAP HONDA CIVIC 2001 A 2006  DIANT 57X;0,;163,63;
851162;GAX SAIDA ESCAP HONDA CIVIC 45.0X58.4X13.5;5,;22,81;TV-11_B.6
152211;GAX SAIDA ESCAP HYUNDAI H100 MITSUBISHI PAJERO MON;2,;19,86;TV-11_D.2
152223;GAX SAIDA ESCAP KIA BESTA 2.7 GS 3.0 16 LUGARES DI;0,;19,81;
851101;GAX SAIDA ESCAP KIA BESTA CERES TDS 45.0X63.5X10.3;0,;24,07;
152221;GAX SAIDA ESCAP KIA BESTA ESPORTAGE 2.0 2.2 DIESEL;0,;19,81;
8611114;GAX SAIDA ESCAP M BENS CLASSE A 1999 A 2005;0,;29,84;
851133052;GAX SAIDA ESCAP MEDIA BMW 116I 118I 120I 318I 320I;0,;140,12;
8611214;GAX SAIDA ESCAP MERCEDES BENZ CLASSE A 1999 A 2005;0,;16,65;
851160;GAX SAIDA ESCAP NISSAN MICRA C C MARCH III DUALIST;0,;188,79;
85111201;GAX SAIDA ESCAP OPEL CAVALIER M 2.3L 53X65X13;0,;177,05;
8111123;GAX SAIDA ESCAP PASSAT GOLF EUROVAN MTR EA827 72X9;0,;225,27;
85113305;GAX SAIDA ESCAP PEQUENA BMW 116I 118I 120I 318I 32;0,;60,29;
85116005;GAX SAIDA ESCAP PEQUENA DIAT NISSAN LIVINA TIIDA V;0,;113,04;
851111;GAX SAIDA ESCAP PEQUENA MITSUBISHI L 200 DIANT 49X;0,;17,80;
85111631;GAX SAIDA ESCAP PEQUENA SUZUKI VITARA 16V 45X59X16;0,;111,66;
1722081;GAX SAIDA ESCAP PERKINS 4236 4248 6357 6357-2 6358;0,;22,60;
8511130;GAX SAIDA ESCAP PEUGEOT 1.0 D4D 16VPART TU1JP HFY/;8,;27,02;TV-11_B.3
8511134;GAX SAIDA ESCAP PEUGEOT 206 307 PARTNER 1.6 16 VAL;3,;85,62;TV-11_D.1
8511100;GAX SAIDA ESCAP PEUGEOT 306 1.8 8 VAL 406 1.8 2.0;7,;56,26;TV-11_C.1
851198;GAX SAIDA ESCAP PEUGEOT 306 405 1.8 16 VAL XANTIA;33,;45,14;TV-11_E.3
85119602;GAX SAIDA ESCAP PEUGEOT MINI COOPER S WORK CLUBMAN;0,;40,75;
831153;GAX SAIDA ESCAP RANGER ARG. GAS 2.8L DIESEL 98 UP;0,;178,29;
85118601;GAX SAIDA ESCAP RENAULT CLIO  KWID SANDERO KANGOO;16,;29,31;TV-11_C.5
851186;GAX SAIDA ESCAP RENAULT CLIO KANGOO TWINGO D7D D7F;4,;27,02;TV-11_B.2
851187;GAX SAIDA ESCAP RENAULT CLIO KANGOO TWINGO PEUGEOT;3,;38,61;TV-11_A.2
851172;GAX SAIDA ESCAP RENAULT CLIO TWINGO 51.6X66.9X13.1;3,;32,02;TV-11_A.3
851184;GAX SAIDA ESCAP RENAULT LAGUNA 2.0 8 VAL 86.1X103.;9,;76,11;TV-11_A.5
851176;GAX SAIDA ESCAP RENAULT R19 1.8 73.8X89.3X12.5;4,;41,00;TV-11_E.2
8511179;GAX SAIDA ESCAP RENAUT CLIO;2,;34,12;SAI-B.2
861109;GAX SAIDA ESCAP SPRINTER 2500 3500 CLASSE C 180 20;0,;40,63;
85115001;GAX SAIDA ESCAP TOYOTA AURIS AVENSIS CELICA MATRIX;0,;123,10;
85115012;GAX SAIDA ESCAP TOYOTA AYGO VIOS E YARIS 1.0 35X46;0,;81,72;
85115016;GAX SAIDA ESCAP TOYOTA AYGO VIOS YARIS 1.3 1.5 16V;0,;104,47;
8511153;GAX SAIDA ESCAP TOYOTA COROLLA IMPORTADO 1.6 1.8 1;0,;55,14;
8511501;GAX SAIDA ESCAP TOYOTA HILUX 2005 UP 16V 68X84X15;0,;33,57;
851150;GAX SAIDA ESCAP TOYOTA HILUX 4P CAMRY E SW4 ATÉ 20;0,;124,38;
8511106;GAX SAIDA ESCAP TRAZ TOYOTA COROLLA IMPORTADO NACI;2,;46,10;TV-11_A.1
811108;GAX SAIDA ESCAP VW GOL AE BX 1000 GOLF GL 94 98 CO;0,;28,46;TV-11_C.4
811106;GAX SAIDA ESCAP VW GOL AE BX FORD ESCORT CHT AP AU;9,;24,31;TV-11_E.1
811107;GAX SAIDA ESCAP VW GOL AT 16 VAL POLO LOGUS POINTE;0,;32,71;
811147;GAX SAIDA ESCAP VW GOL MI 8 VAL GOL SANTANA 2000 C;5,;24,13;TV-11_C.6
811161;GAX SAIDA ESCAP VW GOL SAVEIRO SANTANA AP 1.6 1.8;1,;33,94;TV-11_E.2
811157;GAX SAIDA ESCAP VW PARATI 2.0 16 VAL MULTIPOINT 56;6,;24,50;TV-11_B.1
70.859-CU;GAXETA CANO ESCAPE S4/S4T/4000/40000T/4236/6357;0,;11,77;
71.163-CU;GAXETA DO CANO ESCAPE D-229;0,;10,80;
135301;GAXETA MAVERICK WILLYS JEEP MT. WILLYS 6CIL.;9,;11,51;
39220102;GAXETA MOTOCICLETA;0,;0,92;
401208040;GGML WEBER 190 495 450 M MOD FORD ESCORT VERSAILLE;0,;8,42;
401208042;GGML WEBER 190 495 450 M MOD FORD ESCORT VERSAILLE;0,;8,42;
401208045;GGML WEBER 190 495 450 M MOD FORD ESCORT VERSAILLE;0,;8,42;
401208047;GGML WEBER 190 495 450 M MOD FORD ESCORT VERSAILLE;0,;8,42;
401208050;GGML WEBER 190 495 450 M MOD FORD ESCORT VERSAILLE;0,;8,42;
401208052;GGML WEBER 190 495 450 M MOD FORD ESCORT VERSAILLE;0,;8,42;
401208055;GGML WEBER 190 495 450 M MOD FORD ESCORT VERSAILLE;0,;8,42;
401208057;GGML WEBER 190 495 450 M MOD FORD ESCORT VERSAILLE;0,;8,42;
401208060;GGML WEBER 190 495 450 M MOD FORD ESCORT VERSAILLE;0,;8,42;
401208062;GGML WEBER 190 495 450 M MOD FORD ESCORT VERSAILLE;0,;8,42;
401208065;GGML WEBER 190 495 450 M MOD FORD ESCORT VERSAILLE;0,;8,42;
401208067;GGML WEBER 190 495 450 M MOD FORD ESCORT VERSAILLE;0,;8,42;
401208070;GGML WEBER 190 495 450 M MOD FORD ESCORT VERSAILLE;0,;8,42;
401208090;GGML WEBER 190 495 450 M MOD FORD ESCORT VERSAILLE;0,;8,42;
401211047;GICLEUR DE MARCHA LENTA CAL 47 CHT CARB WEBER 450;0,;9,25;
401209047SB;GICLEUR DE MARCHA LENTA CAL 47 CHT CARB WEBER 450;0,;3,90;
401207170;GICLEUR PRINCIPAL CABEÇA RISCADA CAL.170 CARB.SOLE;10,;5,32;
4012108047;GMLC TLDZ F 495 FIAT ELBA UNO PREMIO FORD ESCORT D;0,;24,70;
4012108050;GMLC TLDZ F 495 FIAT ELBA UNO PREMIO FORD ESCORT D;0,;27,44;
4012108052;GMLC TLDZ F 495 FIAT ELBA UNO PREMIO FORD ESCORT D;0,;24,70;
4012108060;GMLC TLDZ F 495 FIAT ELBA UNO PREMIO FORD ESCORT D;0,;27,44;
4012108062;GMLC TLDZ F 495 FIAT ELBA UNO PREMIO FORD ESCORT D;0,;27,44;
4012107047;GMLC TLDZ G 495 FIAT ELBA UNO PREMIO FORD ESCORT D;0,;27,44;
4012107050;GMLC TLDZ G 495 FIAT ELBA UNO PREMIO FORD ESCORT D;0,;27,44;
4012107052;GMLC TLDZ G 495 FIAT ELBA UNO PREMIO FORD ESCORT D;0,;24,70;
4012107060;GMLC TLDZ G 495 FIAT ELBA UNO PREMIO FORD ESCORT D;0,;27,44;
4012107062;GMLC TLDZ G 495 FIAT ELBA UNO PREMIO FORD ESCORT D;0,;24,70;
401205047;GMLS SOL 30 31PIC 32 34 35 PDSI 34 SEIE40 EIS DEIS;0,;11,29;
401205055;GMLS SOL30 PIC32 34 35 PDSI 34 SEIE40 EIS DEIS 2E7;0,;10,16;
401205050;GMLS SOL30 PIC32 34 35 PDSI34 SEIE40 EIS DEIS 2E7;0,;11,29;
401205060;GMLS SOLE 30PIC32 34 35PDSI 34SEIE40 EIS DEIS 2E7;0,;11,29;
401205062;GMLS SOLEX 30 31 PIC 32 34 35 PDSI 34 SEIE40 EIS D;0,;11,29;
401205065;GMLS SOLEX 30 31 PIC 32 34 35 PDSI 34 SEIE40 EIS D;0,;11,29;
401205067;GMLS SOLEX 30 31 PIC 32 34 35 PDSI 34 SEIE40 EIS D;0,;11,29;
401205070;GMLS SOLEX 30 31 PIC 32 34 35 PDSI 34 SEIE40 EIS D;0,;11,29;
401205072;GMLS SOLEX 30 31 PIC 32 34 35 PDSI 34 SEIE40 EIS D;0,;10,16;
401205075;GMLS SOLEX 30 31 PIC 32 34 35 PDSI 34 SEIE40 EIS D;0,;11,29;
401205077;GMLS SOLEX 30 31 PIC 32 34 35 PDSI 34 SEIE40 EIS D;0,;11,29;
401205080;GMLS SOLEX 30 31 PIC 32 34 35 PDSI 34 SEIE40 EIS D;0,;10,16;
401205090;GMLS SOLEX 30 31 PIC 32 34 35 PDSI 34 SEIE40 EIS D;0,;10,16;
401205095;GMLS SOLEX 30 31 PIC 32 34 35 PDSI 34 SEIE40 EIS D;0,;10,16;
401205057;GMLS SOLEX 30 31 PIC 32 34 35 PDSI 34 SEIE40 EIS D;0,;11,29;
401205045;GMLS SOLEX 30 31 PIC 32 34 35 PDSI 34 SEIE40 EIS D;0,;10,16;
401261050;GMLS SOLEX 30 31 PIC 32 34 35 PDSI 34 SEIE40 EIS D;0,;12,38;
401261052;GMLS SOLEX 30 31 PIC 32 34 35 PDSI 34 SEIE40 EIS D;0,;12,38;
401261055;GMLS SOLEX 30 31 PIC 32 34 35 PDSI 34 SEIE40 EIS D;0,;12,38;
401261060;GMLS SOLEX 30 31 PIC 32 34 35 PDSI 34 SEIE40 EIS D;0,;12,38;
401205052;GMLS SOLEX 30PIC 32 34 35PDSI 34 SEIE40 EIS DEIS 2;0,;10,16;
401215077;GP BLFA SOLEX 30 34 FORD ESCORT CORCEL DEL REY BEL;0,;6,49;
401215082;GP BLFA SOLEX 30 34 FORD ESCORT CORCEL DEL REY BEL;0,;5,91;
401215087;GP BLFA SOLEX 30 34 FORD ESCORT CORCEL DEL REY BEL;0,;5,91;
401215097;GP BLFA SOLEX 30 34 FORD ESCORT CORCEL DEL REY BEL;0,;5,91;
401215100;GP BLFA SOLEX 30 34 FORD ESCORT CORCEL DEL REY BEL;0,;5,91;
401215102;GP BLFA SOLEX 30 34 FORD ESCORT CORCEL DEL REY BEL;0,;5,91;
401215107;GP BLFA SOLEX 30 34 FORD ESCORT CORCEL DEL REY BEL;0,;5,91;
401215110;GP BLFA SOLEX 30 34 FORD ESCORT CORCEL DEL REY BEL;0,;5,91;
401215115;GP BLFA SOLEX 30 34 FORD ESCORT CORCEL DEL REY BEL;0,;6,81;
401215120;GP BLFA SOLEX 30 34 FORD ESCORT CORCEL DEL REY BEL;0,;5,91;
401215125;GP BLFA SOLEX 30 34 FORD ESCORT CORCEL DEL REY BEL;0,;5,91;
401215127;GP BLFA SOLEX 30 34 FORD ESCORT CORCEL DEL REY BEL;0,;5,91;
401215130;GP BLFA SOLEX 30 34 FORD ESCORT CORCEL DEL REY BEL;0,;5,91;
401215135;GP BLFA SOLEX 30 34 FORD ESCORT CORCEL DEL REY BEL;0,;5,91;
401215142;GP BLFA SOLEX 30 34 FORD ESCORT CORCEL DEL REY BEL;0,;6,49;
401215145;GP BLFA SOLEX 30 34 FORD ESCORT CORCEL DEL REY BEL;0,;5,91;
