produto;descrição;qut;precro_bruto;prateleira
BAD03006;AMORTECEDOR TRASEIRO L200 TRITON 08/...;4,;164,87;
CATALOGO;AMOSTRA BASTOS JUNTAS;0,;37,71;
BAD03005;AMOTER MITSUBISHI L200 TRITON 08/ TRAS L DIR ESQ;4,;247,93;
999004;ANEIS VEDACAO GRANDE16X185MM;0,;68,28;
999003;ANEIS VEDACAO MEDIO 16X115MM;0,;61,21;
999002;ANEIS VEDACAO PEQUENO 16X87MM;0,;48,93;
58046270AN;ANEL +0,20 71 MM FIAT 1.3 8V 16V FIRE 02/... COD. ;0,;107,12;
58003270AN;ANEL +0,20 76,2 MM FIAT 1000/1500 E-201 PALIO PREM;0,;112,04;
5470AN;ANEL +0,40 70,4 MM FIAT PALIO UNO SIENA 1.0 FIRE 8;0,;117,49;
58111470AN;ANEL +0,40 72,4 MM FIAT PALIO FIRE 1.4 8V FLEX  CO;0,;110,01;
58002470AN;ANEL +0,40 76,4 MM FIAT UNO MILLE GAS COD. FABR. 5;0,;114,07;
58107530AN;ANEL +0,50 69,18 MM FORD FIESTA KA ZETEC ROCAM 1.0;0,;116,72;
57540AN;ANEL +0,50 71,6 MM GM CORSA GAS 94/... CELTA FLEX ;0,;108,80;
58050530AN;ANEL +0,50 77,5 MM FORD ESCORT 1.6 AE GAS PAMPA 16;0,;143,96;
58051530AN;ANEL +0,50 82,57 MM FORD FIESTA KA ZETEC ROCAM 1.6;0,;137,31;
58037510AN;ANEL +0,50 86 MM VW 1600 AR 84/... ALC GAS COD. FA;0,;91,92;
58005670AN;ANEL +0,60 70,6 MM FIAT PALIO UNO SIENA 1.0 FIRE 8;0,;117,49;
58111670AN;ANEL +0,60 72,6 MM FIAT PALIO FIRE 1.4 8V FLEX COD;0,;110,01;
58002670AN;ANEL +0,60 76,6 MM FIAT UNO MILLE GAS COD. FABR. 5;0,;114,07;
1442492;ANEL 46.0 X 2.60 FIAT UNO SMART PALIO SIENA IDEIA;0,;7,25;
7311451;ANEL ANTI CHAMA REPIRO TV BOR FORD FIESTA KA ECOSP;0,;25,52;
114219;ANEL ANTI CHAMA VW GOL PARATI SAVEIRO MI 1000 AT 8;0,;8,28;
711101;ANEL ANTI CHAMA VW GOL VOYAGE SANTANA PASSAT 92/..;10,;8,11;SEL-1_D.7
222205BN;ANEL ATUADOR ROLAMENTO EMBREAGEM CAMBIO GM ASTRA C;0,;2,28;
113511;ANEL BBA COMB VW PASSAT GOL SANTANA 1.6 1.8 2.0 FO;0,;5,24;
154180021;ANEL BBA D AGUA CANO HYUNDAI ACCENT GL GS GSI ELAN;0,;4,69;
1440574;ANEL BBA D AGUA FIAT MAREA 1.8 16 VAL 2.0 2.4 20 V;0,;7,50;RET-02.4
124104;ANEL BBA D AGUA FLANG LATERAL COROA CAMBIO GM MONZ;12,;9,00;DIV-1_C.3
124105;ANEL BBA D AGUA GM CORSA CELTA PRISMA MERIVA 1.0 1;7,;3,65;DIV-1_C.4
15401753;ANEL BBA D AGUA RENAULT MASTER 2.5 16 VAL G9U 720;0,;56,35;
1541222;ANEL BBA D AGUA TOYOTA LANDCRUISER COASTER DELTA D;0,;11,49;
114210;ANEL BBA D AGUA VW GOL PARATI SAVEIRO MI 1000 AT 8;10,;5,21;DIV-3_D.5
1442494;ANEL BBA OLEO FIAT UNO SMART PALIO SIENA IDEIA PUN;0,;10,91;
151756051BN;ANEL BICO TV HYUNDAI HR 13/... KIA SORENTO EX 2.5;0,;171,11;
123504;ANEL BOBINA DIST GM MONZA KADETT IPANEMA ASTRA VEC;61,;5,06;DIV-3_E.5
14424910BN;ANEL BOBINA FIAT UNO SMART PALIO SIENA IDEIA PUNTO;0,;2,55;
14424911;ANEL BOBINA QUADRADO FIAT UNO SMART PALIO SIENA ID;20,;2,57;DIV-2_C.3
15171553BN;ANEL BOR 4PÇS CONICO PROTETOR BICO TOYOTA HILLUX P;10,;165,58;C20-D.2
451860;ANEL BOR CORPO TBI NISSAN TIIDA SENTRA MR20DE 16V.;0,;33,82;
1442875;ANEL BOR FIAT DOBLO GRAND SIENA IDEA PALIO PUNTO S;0,;9,03;
1442871;ANEL BOR FIAT DOBLO GRAND SIENA IDEA PALIO PUNTO S;0,;9,03;
133583;ANEL BOR FORD DURATORQ PUMA TDCI (22DDOP) 2.2 16V;0,;117,92;
15420210;ANEL BOR RENAULT TRAFIC C 11 PECAS;0,;7,55;
151750131BN;ANEL BOR TUBO INJ TOYOTA ETIOS MTR 2NR-FE DUAL VVT;1,;180,88;TV-12_F.2.C
1417913BN;ANEL BOR TV 18 PCS  CHRYSLER DODGE FIAT JEEP FREEM;0,;48,21;
12171663BN;ANEL BOR TV 18 PCS GM S10 TRAIL BLAZER CTDI LTZ 2.;0,;56,77;
151780013BN;ANEL BOR TV 18 PCS HYUNDAI IX35 2010/...TUCSON SON;0,;69,63;
15171461BN;ANEL BOR TV 2 PECAS TOYOTA COROLLA VVTI FILDER VVT;0,;12,02;
151754031BN;ANEL BOR TV 6 CHRYSLER DODGE MITSUBISHI 2 5 3 0 V6;0,;144,54;
1417871BN;ANEL BOR TV FIAT DOBLO GRAND SIENA IDEA PALIO PUNT;2,;66,92;C10_F.3.B
1517091BN;ANEL BOR TV GM S10 BLAZER M BENS SPRINTER LAND ROV;0,;21,00;
4114117BN;ANEL BOR TV GUIA BICO VELA 2 PCS VW AMAROK 2,0 4CI;0,;33,54;
11171178BN;ANEL BOR TV GUIA BICO VELA 2 PCS VW AMAROK MTR CNF;0,;51,08;
151760033BN;ANEL BOR TV NISSAN FRONTIER PARTHIF 2.5 16V 26X45X;13,;163,86;C10-C.3
151796021BN;ANEL BOR TV PEU 207 208 308 408 508 2008 3008 RCZ;0,;104,76;
151796021SL;ANEL BOR TV SILIC PEU 207 208 308 408 508 2008 300;0,;98,66;
151750133BN;ANEL BOR TV TOYOTA ETIOS MTR 2NR-FE DUAL VVTI 1.3;0,;182,82;
CFX201;ANEL BORR ESCAP GM CHEVETTE OPALA;0,;1,67;
113502;ANEL BORRACHA CAPA TUCHO VW FUSCA BRASILIA KOMBI 1;10,;22,21;
123603;ANEL BUJAO CAR GM ASTRA VECTRA S10 2.0 2.2 8V E 16;0,;3,72;
123649;ANEL BUJAO GM ASTRA VECTRA S10 2.0 2.2 8V E 16V CO;0,;1,40;
251372;ANEL CAMBIO 5 MACHA RENAULT R19 R21 CLIO MEGANE SC;0,;31,10;
211305;ANEL CAMBIO VW PASSAT GOL VOYAGE PARATI SANTANA 4;0,;21,26;
163847;ANEL CAMISA VITON MTR MERCEDES OM 501 502 150 X 15;0,;200,80;
1838094;ANEL CAMISA VITON MWM D229 4 6 CIL;0,;23,72;
1542725;ANEL CAMISA VITON RENAULT CLIO R9 R11 R19 R21 C1C;10,;50,65;SEL-1_D.4
1542053;ANEL CAMISA VITON RENAULT TRAFIC DIESEL;0,;46,60;
1542029;ANEL CAMISA VITON RENAULT TRAFIC GAS;0,;63,49;
1442574;ANEL CANO D AGUA FIAT MAREA BRAVA STILO ABARTH 1.8;0,;3,70;
1440051;ANEL CANO D AGUA FIAT UNO PALIO SIENA TIPO 1.6 8 1;0,;2,40;
1442493;ANEL CANO D AGUA MTR SMART FIRE EVO 1.0 1.4 8V 27,;0,;2,24;
1542865;ANEL CANO D AGUA PEUGEOT RENAULT TODOS;0,;11,62;
114216;ANEL CANO D AGUA VW GOL PARATI SAVEIRO MI 1000 AT;35,;5,00;DIV-3_D.1
113532;ANEL CAPA TUCHO VW GOL1300 BX REFRIGERACAO AR;0,;40,91;
134245;ANEL CARC VAL TERMOSTATICA FORD FIESTA ECOSPORT SU;4,;17,93;DIV-3_G.3
723301;ANEL CEBOLAO VW GM FIAT TODOS EXCETO CHEVETTE;0,;3,07;
15213301;ANEL COL ADM  SIL BMW 118I 120I E81/E87 318I 320I;0,;199,97;
1421852;ANEL COL ADM 04 PCS FIAT EVO GRAND IDEA 500 PALIO;10,;56,68;COL-P3_F.1
1121891;ANEL COL ADM 04 PCS VW BORA NEW BEETLE GOLF SHARAN;0,;113,63;
1521116;ANEL COL ADM BOCAL RENAULT CLIO MEGANE SCENIC KANG;4,;41,96;COL-P3_G.5
1521179;ANEL COL ADM BOCAL RENAULT CLIO MEGANE SCENIC KANG;0,;44,94;
114206;ANEL COL ADM BOCAL VW PASSAT SANTANA GOL AP 1.6 1.;2,;2,50;DIV-1_C.1
112105;ANEL COL ADM BOR VW GOL SAVEIRO PARATI MI 1.0 16V;22,;15,07;COL-P3_B.1
112106;ANEL COL ADM BOR VW GOL SAVEIRO PARATI MI 1.0 GOLF;22,;13,05;COL-P3_B.2
142153;ANEL COL ADM FIAT PALIO SIENA DOBLO 1.0 1.3 16V 99;19,;47,01;COL-P3_F.3
142149;ANEL COL ADM FIAT PALIO SIENA FIRE VW GOL POWER;144,;23,70;COL-P3_A.3
1421491;ANEL COL ADM FIAT UNO SMART PALIO SIENA IDEIA PUNT;8,;80,12;COL-P3_F.2
1321493;ANEL COL ADM FORD ESCORT ZETEC 1.8 2.0 16 VAL;28,;42,05;COL-P3_D.4
1221117;ANEL COL ADM GM CORSA CELTA PRISMA MERIVA FIAT PAL;39,;64,49;COL-P3_I.5
15211711;ANEL COL ADM HONDA CIVIC NEW CIVIC FIT 1.7 16V FLE;0,;93,74;
15218008;ANEL COL ADM I30 IX35 ELANTRA CRETA KIA SPORTAGE M;0,;93,54;
11211151;ANEL COL ADM INJE VW BORA 03/11 GOLF 03/14 POLO 03;0,;267,51;
1121811;ANEL COL ADM INJE VW GOLF SR BORA AUDI A3 A4 AEH A;4,;82,88;COL-P3_B.3
1521231;ANEL COL ADM KIA BESTA GS DIESEL;0,;22,99;
15218601;ANEL COL ADM LOGAN SANDERO KWID MTR SCE B4D FLEX 1;5,;66,18;COL-P3_I.4
1521141;ANEL COL ADM PEUGEOT 206 307 406 407 607 806 807 X;7,;42,59;COL-P3_H.7
1521120;ANEL COL ADM PEUGEOT 306 406 2.0 8 VAL XU10J2C (RF;0,;67,09;
1521100;ANEL COL ADM PEUGEOT 306 406 CITROEN 1.6 XU5J 1.8;0,;58,77;
1521981;ANEL COL ADM PEUGEOT 306 406 CITROEN XANTIA XSARA;5,;36,98;COL-P3_G.7
